iter	Passed	Remaining
609	6897	4409
610	6908	4398
611	6923	4389
612	6942	4382
613	6961	4376
614	6980	4370
615	7000	4364
616	7015	4355
617	7033	4347
618	7046	4336
619	7059	4326
620	7072	4316
621	7085	4305
622	7098	4295
623	7112	4285
624	7126	4275
625	7139	4265
626	7151	4254
627	7163	4243
628	7175	4232
629	7187	4221
630	7199	4210
631	7211	4199
632	7223	4188
633	7234	4176
634	7245	4164
635	7256	4153
636	7267	4141
637	7278	4129
638	7290	4118
639	7301	4107
640	7313	4095
641	7324	4084
642	7336	4073
643	7348	4062
644	7359	4050
645	7371	4039
646	7383	4028
647	7394	4016
648	7405	4005
649	7416	3993
650	7428	3982
651	7439	3970
652	7450	3958
653	7461	3947
654	7472	3936
655	7483	3924
656	7494	3912
657	7506	3901
658	7517	3889
659	7528	3878
660	7540	3867
661	7551	3855
662	7562	3844
663	7574	3832
664	7585	3821
665	7597	3809
666	7608	3798
667	7619	3787
668	7631	3775
669	7644	3765
670	7657	3754
671	7670	3743
672	7682	3732
673	7693	3721
674	7704	3709
675	7715	3697
676	7726	3686
677	7737	3674
678	7749	3663
679	7761	3652
680	7772	3640
681	7784	3629
682	7796	3618
683	7807	3606
684	7818	3595
685	7829	3583
686	7841	3572
687	7852	3561
688	7864	3549
689	7875	3538
690	7887	3526
691	7899	3515
692	7909	3504
693	7921	3492
694	7932	3481
695	7944	3470
696	7955	3458
697	7967	3447
698	7977	3435
699	7989	3424
700	8001	3412
701	8013	3401
702	8024	3390
703	8037	3379
704	8050	3368
705	8062	3357
706	8074	3346
707	8088	3335
708	8100	3324
709	8113	3314
710	8128	3304
711	8141	3293
712	8153	3281
713	8165	3270
714	8176	3259
715	8187	3247
716	8200	3236
717	8212	3225
718	8223	3213
719	8235	3202
720	8247	3191
721	8258	3180
722	8270	3168
723	8281	3157
724	8292	3145
725	8304	3134
726	8315	3122
727	8326	3111
728	8338	3099
729	8349	3088
730	8360	3076
731	8371	3064
732	8382	3053
733	8393	3041
734	8404	3030
735	8415	3018
736	8427	3007
737	8437	2995
738	8449	2984
739	8460	2972
740	8471	2961
741	8483	2949
742	8494	2938
743	8504	2926
744	8516	2914
745	8527	2903
746	8539	2892
747	8551	2880
748	8563	2869
749	8574	2858
750	8586	2846
751	8597	2835
752	8609	2824
753	8620	2812
754	8632	2801
755	8643	2789
756	8654	2778
757	8666	2766
758	8677	2755
