iter	Passed	Remaining
637	835	473
638	836	472
639	837	471
640	838	469
641	839	468
642	840	466
643	841	465
644	842	463
645	843	462
646	844	460
647	845	459
648	846	457
649	847	456
650	848	454
651	848	453
652	849	451
653	850	450
654	851	448
655	852	447
656	853	445
657	854	444
658	855	442
659	856	441
660	857	439
661	858	438
662	859	436
663	860	435
664	861	433
665	862	432
666	863	430
667	864	429
668	865	428
669	866	426
670	867	425
671	867	423
672	868	422
673	869	420
674	870	419
675	871	417
676	872	416
677	873	414
678	874	413
679	875	411
680	876	410
681	877	409
682	878	407
683	879	406
684	880	404
685	881	403
686	882	401
687	883	400
688	884	399
689	885	397
690	886	396
691	887	395
692	888	393
693	889	392
694	890	390
695	891	389
696	892	387
697	893	386
698	894	385
699	895	383
700	896	382
701	897	380
702	898	379
703	899	378
704	900	376
705	901	375
706	902	373
707	903	372
708	904	371
709	905	369
710	906	368
711	908	367
712	909	365
713	910	364
714	911	363
715	911	361
716	912	360
717	913	358
718	914	357
719	915	356
720	916	354
721	917	353
722	918	351
723	919	350
724	920	349
725	921	347
726	922	346
727	923	345
728	924	343
729	925	342
730	926	340
731	927	339
732	928	338
733	929	336
734	930	335
735	931	334
736	932	332
737	933	331
738	934	330
739	935	328
740	936	327
741	937	325
742	938	324
743	939	323
744	940	321
745	941	320
746	942	319
747	943	317
748	944	316
749	945	315
750	946	313
751	947	312
752	948	311
753	949	309
754	950	308
755	950	306
756	951	305
757	953	304
758	954	302
759	955	301
760	956	300
761	957	298
762	958	297
763	958	296
764	959	294
765	960	293
766	961	292
767	962	290
768	963	289
769	964	288
770	965	286
771	966	285
772	967	284
773	968	282
774	969	281
775	970	280
776	971	278
777	972	277
778	972	276
779	973	274
780	974	273
781	975	272
782	977	270
783	978	269
784	979	268
785	979	266
786	981	265
787	982	264
788	983	262
789	984	261
790	985	260
791	986	258
792	987	257
793	988	256
794	988	254
795	989	253
796	990	252
797	991	251
798	992	249
799	993	248
800	994	247
801	995	245
802	996	244
803	997	243
804	998	241
805	999	240
806	1000	239
807	1001	238
808	1002	236
809	1003	235
810	1004	234
811	1005	232
812	1006	231
813	1007	230
814	1008	228
815	1009	227
816	1010	226
817	1011	224
818	1012	223
819	1013	222
820	1014	221
821	1015	219
822	1016	218
823	1016	217
824	1017	215
825	1018	214
826	1019	213
827	1020	212
828	1021	210
829	1022	209
830	1024	208
831	1025	207
832	1026	205
833	1027	204
834	1028	203
835	1028	201
836	1029	200
837	1030	199
838	1031	197
839	1032	196
840	1033	195
841	1034	194
842	1035	192
843	1036	191
844	1036	190
845	1038	188
846	1038	187
847	1039	186
848	1040	185
849	1041	183
850	1042	182
851	1043	181
852	1044	180
853	1045	178
854	1046	177
855	1048	176
856	1048	175
857	1049	173
858	1050	172
859	1051	171
860	1052	169
861	1053	168
862	1054	167
863	1055	166
864	1056	164
865	1057	163
866	1058	162
867	1059	161
868	1060	159
869	1061	158
870	1062	157
871	1062	156
872	1063	154
873	1064	153
874	1065	152
875	1066	151
876	1067	149
877	1069	148
878	1070	147
879	1071	146
880	1072	144
881	1073	143
882	1074	142
883	1075	141
884	1076	139
885	1077	138
886	1078	137
887	1079	136
888	1080	134
889	1081	133
890	1082	132
891	1083	131
892	1084	129
893	1085	128
894	1086	127
895	1087	126
896	1088	124
897	1088	123
898	1089	122
899	1090	121
900	1091	119
901	1092	118
902	1093	117
903	1094	116
904	1096	115
905	1096	113
906	1097	112
907	1098	111
908	1099	110
909	1100	108
910	1101	107
911	1102	106
912	1103	105
913	1104	103
914	1105	102
915	1106	101
916	1107	100
917	1108	98
918	1109	97
919	1110	96
920	1111	95
921	1112	94
922	1113	92
923	1114	91
924	1114	90
925	1115	89
926	1117	87
927	1118	86
928	1119	85
929	1120	84
930	1120	83
931	1121	81
932	1122	80
933	1123	79
934	1124	78
935	1125	76
936	1126	75
937	1127	74
938	1128	73
939	1129	72
940	1130	70
941	1131	69
942	1132	68
943	1133	67
944	1134	66
945	1135	64
946	1135	63
947	1136	62
948	1137	61
949	1138	59
950	1140	58
951	1141	57
952	1142	56
953	1143	55
954	1144	53
955	1144	52
956	1145	51
957	1146	50
958	1147	49
959	1148	47
960	1149	46
961	1150	45
962	1151	44
963	1152	43
964	1153	41
965	1154	40
966	1155	39
967	1156	38
968	1157	37
969	1158	35
970	1159	34
971	1160	33
972	1161	32
973	1162	31
974	1163	29
975	1164	28
976	1165	27
977	1167	26
978	1168	25
979	1169	23
980	1170	22
981	1171	21
982	1172	20
983	1173	19
984	1174	17
985	1175	16
986	1176	15
987	1177	14
988	1178	13
989	1179	11
990	1180	10
991	1181	9
992	1182	8
993	1184	7
994	1185	5
995	1186	4
996	1187	3
997	1189	2
998	1190	1
999	1191	0
