iter	RMSE
759	5221.175935
760	5218.712427
761	5217.166126
762	5208.852914
763	5193.774716
764	5182.050436
765	5167.177736
766	5165.312881
767	5157.193336
768	5144.713489
769	5133.113587
770	5125.480158
771	5118.69131
772	5105.488626
773	5092.712389
774	5082.209711
775	5072.869169
776	5072.020278
777	5054.632409
778	5038.397864
779	5032.763379
780	5018.309004
781	5002.529191
782	4989.641136
783	4982.061202
784	4975.664014
785	4965.022847
786	4959.442279
787	4951.909897
788	4936.8517
789	4928.422719
790	4921.981875
791	4913.915433
792	4902.376237
793	4886.486236
794	4882.184328
795	4878.600303
796	4871.587843
797	4860.742836
798	4859.991837
799	4845.510935
800	4842.350261
801	4836.222689
802	4832.11256
803	4822.292056
804	4810.393837
805	4801.845134
806	4794.740873
807	4775.808894
808	4764.093408
809	4760.715144
810	4745.693163
811	4730.540759
812	4719.579521
813	4706.483328
814	4703.425899
815	4685.126829
816	4678.20275
817	4671.012529
818	4656.659928
819	4653.156702
820	4644.08009
821	4639.13212
822	4632.763676
823	4632.240479
824	4617.805022
825	4610.470728
826	4601.102301
827	4597.741368
828	4581.367227
829	4577.044814
830	4564.24177
831	4545.551908
832	4538.872734
833	4522.320343
834	4508.881749
835	4508.347277
836	4498.969973
837	4489.992761
838	4476.393101
839	4465.323124
840	4457.720774
841	4452.505004
842	4444.931746
843	4439.984196
844	4431.236665
845	4424.480439
846	4410.030014
847	4400.920616
848	4394.091309
849	4386.15663
850	4370.038262
851	4353.90818
852	4343.980761
853	4338.090256
854	4322.142038
855	4311.491181
856	4305.106735
857	4294.07001
858	4284.46513
859	4278.5629
860	4276.528069
861	4267.118327
862	4265.623693
863	4256.637654
864	4246.413355
865	4238.860404
866	4223.366497
867	4216.879521
868	4205.712242
869	4201.328463
870	4195.336184
871	4192.858381
872	4186.132568
873	4185.553217
874	4168.053148
875	4154.424898
876	4146.30475
877	4139.949697
878	4137.957776
879	4131.214741
880	4130.668306
881	4118.173244
882	4109.438185
883	4100.225473
884	4083.973853
885	4071.270507
886	4061.330493
887	4054.154368
888	4045.171636
889	4027.279826
890	4019.720328
891	4014.75105
892	4007.64924
893	3995.811436
894	3980.091765
895	3979.510729
896	3976.27622
897	3966.359748
898	3959.920196
899	3952.766425
900	3943.505958
901	3940.037578
902	3924.394452
903	3909.582972
904	3897.878318
905	3890.939352
906	3879.246484
907	3876.477125
908	3875.835621
909	3870.202936
910	3862.343838
911	3860.831447
912	3853.627777
913	3844.511358
914	3836.467642
915	3831.888702
916	3822.272988
917	3810.71228
918	3806.942667
919	3802.818441
920	3790.202433
921	3789.0106
922	3779.208704
923	3770.818636
924	3767.222713
925	3758.161325
926	3745.812323
927	3741.513291
928	3736.054979
929	3724.267009
930	3713.432277
931	3711.458073
932	3707.693931
933	3696.370187
934	3694.334457
935	3685.54075
936	3676.250772
937	3675.751736
938	3666.449635
939	3659.847989
940	3653.232462
941	3644.74887
942	3640.150017
943	3636.03349
944	3623.285825
945	3613.190075
946	3607.506688
947	3593.726548
948	3585.191363
949	3578.606698
950	3575.054066
951	3571.778053
952	3561.746381
953	3550.205177
954	3546.071583
955	3538.83716
956	3531.760178
957	3526.271232
958	3520.516566
959	3510.31673
960	3501.244567
961	3492.371384
962	3479.036675
963	3475.2461
964	3470.663256
965	3467.184552
966	3466.71082
967	3458.390785
968	3451.45892
969	3443.84942
970	3438.113301
971	3428.67703
972	3427.056548
973	3422.901695
974	3411.971979
975	3399.26076
976	3393.144573
977	3386.23078
978	3377.590252
979	3375.417232
980	3366.436027
981	3357.999044
982	3354.635686
983	3343.969289
984	3338.398525
985	3336.008901
986	3326.733957
987	3317.739009
988	3310.156043
989	3300.380158
990	3297.920892
991	3294.759831
992	3293.308837
993	3285.079494
994	3275.251323
995	3263.140502
996	3258.054723
997	3246.501297
998	3239.06704
999	3230.403286
